,FIPS,Real Values,Test Values
462,39167,19.95,15.930442078456814
463,39169,12.07,15.845968579422557
464,40017,8.31,15.805888379224251
465,40027,6.04,15.805888379224251
466,40109,6.81,15.930442078456814
467,40143,9.41,15.845968579422557
468,41005,4.33,15.805888379224251
469,41029,13.21,15.845968579422557
470,41039,9.22,15.888773836649873
471,41047,3.17,15.845968579422557
472,41051,14.66,15.805888379224251
473,41067,4.85,15.805888379224251
474,42003,31.84,15.805888379224251
475,42007,13.96,15.888773836649873
476,42011,18.09,15.805888379224251
477,42017,18.31,15.805888379224251
478,42019,19.69,15.805888379224251
479,42021,16.7,16.66429034102593
480,42029,20.88,15.805888379224251
481,42033,18.89,16.61089660805075
482,42037,16.81,15.930442078456814
483,42039,22.34,15.930442078456814
484,42041,11.14,15.805888379224251
485,42043,19.85,15.845968579422557
486,42045,24.44,15.805888379224251
487,42049,20.58,16.342085495060772
488,42055,10.98,15.805888379224251
489,42063,17.75,16.49654504567911
490,42069,38.9,15.888773836649873
491,42071,10.3,15.805888379224251
492,42073,39.45,16.342085495060772
493,42077,10.32,15.805888379224251
494,42079,20.15,15.888773836649873
495,42085,22.59,16.2914021826918
496,42089,9.44,15.805888379224251
497,42091,19.91,15.805888379224251
498,42095,20.01,15.805888379224251
499,42097,16.47,16.61089660805075
500,42101,46.78,16.61089660805075
501,42103,26.82,15.805888379224251
502,42107,12.67,16.2914021826918
503,42125,33.28,15.805888379224251
504,42127,27.3,15.888773836649873
505,42129,4.85,15.845968579422557
506,42131,36.97,15.845968579422557
507,42133,13.83,15.805888379224251
508,44003,32.95,15.805888379224251
509,44005,16.96,15.805888379224251
510,44007,27.2,15.845968579422557
511,44009,12.68,15.805888379224251
512,45003,18.3,15.930442078456814
513,45007,10.47,15.930442078456814
514,45013,9.54,15.805888379224251
515,45015,17.19,15.805888379224251
516,45019,18.72,15.805888379224251
517,45035,20.54,15.805888379224251
518,45041,16.65,16.49654504567911
519,45043,24.1,16.61089660805075
520,45045,22.36,15.805888379224251
521,45047,24.03,16.66429034102593
522,45051,22.66,16.2914021826918
523,45055,18.29,15.930442078456814
524,45057,14.68,15.845968579422557
525,45059,22.39,16.66429034102593
526,45063,14.91,15.805888379224251
527,45073,19.14,15.930442078456814
528,45077,21.61,16.2914021826918
529,45079,11.82,15.930442078456814
530,45083,18.48,15.888773836649873
531,45085,18.78,16.66429034102593
532,45091,18.61,15.805888379224251
533,46099,7.26,15.805888379224251
534,47001,23.53,15.930442078456814
535,47009,22.84,15.845968579422557
536,47011,15.93,15.930442078456814
537,47019,21.3,17.133261694087736
538,47021,51.93,15.805888379224251
539,47031,23.34,16.2914021826918
540,47037,28.59,15.805888379224251
541,47043,18.71,15.845968579422557
542,47059,23.16,16.66429034102593
543,47065,11.25,15.845968579422557
544,47073,17.69,16.66429034102593
545,47093,46.42,15.845968579422557
546,47119,19.08,15.845968579422557
547,47125,19.42,15.845968579422557
548,47145,47.05,15.888773836649873
549,47147,14.08,15.805888379224251
550,47149,20.93,15.805888379224251
551,47155,37.8,16.61089660805075
552,47157,12.61,16.49654504567911
553,47163,26.64,16.61089660805075
