,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
896,22033,18.9,54494,4.4,81.7,4.26
897,22051,17.1,51461,4.5,95.7,30.07
898,22055,17.4,52827,4.9,86.6,4.12
899,22063,11.4,61297,4.2,93.8,10.13
900,22071,26.1,37407,5.1,59.8,7.88
901,22079,19.9,42238,5.6,133.3,8.36
902,22103,11.1,67926,4.3,92.0,23.8
903,22117,23.1,37792,5.8,125.8,57.9
904,23001,12.4,48446,3.2,58.9,16.72
905,23005,8.1,70661,2.6,44.3,27.35
906,23011,12.4,52265,3.3,83.9,40.22
907,23019,14.3,49836,3.8,60.0,32.25
908,23025,15.9,42426,5.0,61.9,33.58
909,23029,21.1,37943,5.1,58.5,44.31
910,23031,7.8,66025,3.0,52.9,37.22
911,24001,17.0,42564,5.9,109.9,13.96
912,24003,6.1,96133,3.6,61.4,10.82
913,24005,8.3,73309,4.4,63.5,10.57
914,24013,5.0,92890,3.5,64.5,12.52
915,24015,9.7,72259,4.9,64.1,16.55
916,24017,7.5,94478,4.1,71.3,10.64
917,24021,6.7,91727,3.7,61.4,7.54
918,24025,7.1,80922,4.0,64.6,9.12
919,24027,5.9,111576,3.2,31.5,3.43
920,24031,7.0,102944,3.4,29.9,3.4
921,24033,8.6,80858,4.3,34.2,5.26
922,24037,8.5,82433,4.1,56.9,8.88
923,24043,13.3,59828,4.8,100.2,13.28
924,24045,15.0,52341,5.9,66.3,12.63
925,24510,22.1,46762,6.3,48.5,19.46
926,25001,7.6,70576,4.7,50.9,30.45
927,25003,10.6,56063,4.4,51.8,21.38
928,25005,11.1,67085,4.8,62.1,42.57
929,25009,10.2,75309,3.8,39.4,36.3
930,25013,17.1,51850,5.1,57.7,23.2
931,25015,10.2,67774,3.5,48.8,16.68
932,25017,8.0,97851,3.1,28.8,19.96
933,25021,6.7,100710,3.4,35.6,22.28
934,25023,7.3,86026,4.0,45.6,36.69
935,25025,17.9,65999,3.4,26.8,29.7
936,25027,10.4,70222,3.9,43.9,28.45
937,26021,17.3,48924,4.8,84.4,13.61
938,26025,19.1,46113,4.9,101.4,31.31
939,26045,8.7,64318,4.1,85.7,11.92
940,26049,18.3,46457,5.6,102.0,31.42
941,26055,9.3,59674,4.2,96.2,19.61
942,26065,19.8,51186,4.3,63.7,21.37
943,26077,14.0,56199,4.0,63.3,15.21
944,26081,10.4,61146,3.4,67.7,15.57
945,26087,8.7,57621,5.5,68.0,13.61
946,26091,10.4,56416,4.7,81.7,10.14
947,26093,5.3,82076,3.4,52.8,20.04
948,26099,11.2,60475,4.4,86.3,34.2
949,26115,11.7,61121,4.7,78.4,31.41
950,26117,14.9,46664,4.9,103.2,17.31
951,26121,15.2,48885,5.3,111.4,17.85
952,26125,7.8,77558,3.5,64.0,4.24
953,26139,8.2,68816,3.2,52.8,13.97
954,26147,12.4,56671,5.1,87.7,27.61
955,26155,11.1,53055,5.1,84.8,27.76
956,26159,12.8,52114,5.6,94.1,23.89
957,26161,12.9,70509,3.5,38.4,16.59
958,26163,22.6,45182,5.6,77.4,36.1
959,27003,5.4,79097,3.3,44.9,8.82
960,27037,5.8,81004,3.0,43.0,6.4
961,27053,10.5,74568,3.0,33.5,11.74
962,27123,14.0,61924,3.2,36.0,7.85
963,27137,14.5,53013,4.6,54.4,11.5
964,27163,4.2,92582,3.0,47.8,5.85
965,28033,8.7,66125,3.8,90.7,16.22
966,28047,19.7,46709,4.9,108.2,14.63
967,28049,20.2,44076,4.8,62.2,7.52
968,28059,14.5,49699,5.9,86.4,8.44
969,28109,17.2,47757,5.3,113.5,25.33
970,28121,9.3,65504,3.6,92.6,7.23
971,29019,15.1,52179,2.6,40.9,8.98
972,29043,9.9,58931,3.1,65.7,11.71
973,29047,7.4,67666,3.6,78.0,6.18
974,29071,10.4,55937,3.6,88.1,21.29
975,29077,16.2,45608,3.1,97.7,18.63
976,29095,13.8,52585,4.4,68.6,7.87
977,29099,10.7,62334,3.6,72.8,32.17
978,29113,9.8,67986,3.6,66.5,21.36
979,29161,18.4,41330,3.7,80.8,22.35
980,29183,5.3,81827,2.9,67.2,19.72
981,29189,10.0,64926,3.4,63.4,24.48
982,29510,21.4,40876,4.4,47.9,61.56
983,31055,11.4,61706,3.1,57.8,5.34
984,32003,14.0,57217,5.3,70.6,12.66
985,32019,10.8,54588,5.9,83.3,22.17
986,32031,11.1,61506,4.2,73.2,15.85
987,32510,11.0,55228,5.1,115.8,23.75
988,33001,8.3,63902,2.7,57.1,37.84
989,33003,9.3,58005,2.7,65.1,33.29
990,33005,9.4,60844,2.6,53.4,28.96
991,33007,11.7,43836,3.5,58.0,34.77
992,33009,9.4,63322,2.2,55.3,19.02
993,33011,7.9,78171,2.9,44.0,39.05
994,33013,7.3,70408,2.4,60.0,22.12
995,33015,5.1,89049,2.9,52.9,27.74
996,33017,9.4,68864,2.4,64.8,36.54
997,34001,14.4,59309,7.2,63.8,45.2
998,34003,6.6,93805,3.9,36.0,12.86
999,34005,6.5,86777,4.1,58.7,27.2
1000,34007,11.7,65817,5.1,71.3,2.74
1001,34009,10.4,64450,9.2,74.9,48.1
1002,34011,18.4,51786,7.0,77.9,46.55
1003,34013,15.7,60284,5.7,33.0,30.56
1004,34015,6.7,84639,4.7,67.8,5.48
1005,34017,14.1,65673,4.4,31.4,16.63
1006,34019,3.9,113083,3.5,34.8,16.79
1007,34021,11.4,78161,4.1,45.3,20.55
1008,34023,8.5,85187,4.1,36.5,23.73
1009,34025,7.3,97627,4.1,45.6,26.18
1010,34027,4.9,114269,3.6,34.8,18.81
1011,34029,10.2,70493,4.8,55.3,30.77
1012,34031,16.5,63127,5.7,37.9,18.92
1013,34035,5.3,111838,3.8,30.9,16.99
1014,34037,5.3,89744,4.4,48.9,23.29
1015,34039,9.3,76830,4.8,34.0,18.8
1016,34041,7.4,79633,4.2,58.3,34.64
1017,35001,14.6,51091,5.2,59.6,17.44
1018,35013,26.3,38562,6.5,41.5,10.21
1019,35015,16.9,52932,5.0,76.9,21.05
1020,35039,28.9,36977,6.1,75.1,66.4
1021,35043,15.3,56937,5.9,48.4,13.33
1022,35045,23.1,46977,7.2,53.5,8.67
1023,35049,12.2,58639,4.9,72.9,20.17
1024,35061,17.5,46155,6.3,70.7,21.07
1025,36001,11.3,65659,4.2,42.1,6.78
1026,36005,27.9,37377,6.3,26.4,19.3
1027,36007,17.5,47910,5.6,63.2,25.82
1028,36011,12.6,55460,5.0,46.4,24.48
1029,36013,17.7,45840,6.0,61.6,23.25
1030,36015,15.3,50562,5.5,72.8,14.03
1031,36019,13.7,56436,5.3,74.2,13.58
1032,36021,10.5,60629,3.8,58.4,24.75
1033,36023,15.7,52038,5.8,58.2,25.11
1034,36027,10.1,76955,4.3,49.7,26.73
1035,36029,14.5,55581,5.1,59.1,26.26
1036,36037,10.8,55522,4.8,49.6,18.98
1037,36045,15.1,47436,6.5,54.9,13.14
1038,36047,19.8,56548,4.7,20.4,10.95
1039,36049,12.5,51857,6.6,36.4,45.2
1040,36055,14.6,57660,4.9,42.7,23.81
1041,36059,6.2,107465,4.1,36.0,13.95
1042,36061,16.3,84133,4.1,33.8,11.59
1043,36063,12.4,54317,6.2,65.9,18.93
1044,36065,16.1,53234,5.0,54.1,20.75
1045,36067,13.7,57641,4.7,50.6,16.97
1046,36069,9.3,65271,4.5,45.2,15.47
1047,36071,10.9,77606,4.5,51.9,19.88
1048,36075,16.3,52732,6.5,54.0,14.35
1049,36079,5.4,98765,4.2,38.9,23.16
1050,36081,12.2,64046,4.0,20.6,9.41
1051,36085,11.9,78466,4.7,39.3,20.86
1052,36087,13.3,87873,4.3,31.0,8.82
1053,36101,12.8,50807,5.7,61.3,12.46
1054,36103,7.0,94108,4.5,45.4,28.27
1055,36105,14.9,52504,4.9,66.5,34.44
1056,36109,18.6,56539,4.3,48.5,15.27
1057,36111,13.7,62531,4.5,59.0,23.97
1058,36119,8.5,90483,4.5,30.9,12.04
