,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
411,6023,18.0,38254.0,10.6,142.4,17.08,1.0
412,6029,21.4,45045.0,15.7,66.8,5.12,1.0
413,6031,22.5,44020.0,16.1,82.0,6.54,1.0
414,6033,21.0,35914.0,15.1,169.7,27.84,1.0
415,6035,16.8,50093.0,14.0,120.1,34.39,1.0
416,6037,17.6,52595.0,12.5,41.0,2.5,1.0
417,6041,9.2,82383.0,7.9,54.3,5.55,1.0
418,6047,23.1,41730.0,18.0,71.0,3.91,1.0
419,6053,17.1,53735.0,12.7,69.8,4.58,1.0
420,6059,12.2,70727.0,9.7,51.8,6.78,1.0
421,6061,9.1,68330.0,11.6,73.6,2.87,1.0
422,6065,16.4,53981.0,13.8,56.9,5.3,1.0
423,6067,16.7,52655.0,12.6,64.3,6.06,1.0
424,6071,18.1,52270.0,13.5,54.8,3.0,1.0
425,6073,14.8,59759.0,10.8,47.0,7.66,1.0
426,6075,12.8,70883.0,8.9,44.9,12.92,1.0
427,6077,19.0,49742.0,16.5,66.8,10.65,1.0
428,6079,14.3,53620.0,10.1,85.2,9.27,1.0
429,6081,7.0,82413.0,8.4,40.8,2.23,1.0
430,6083,17.7,56243.0,9.7,69.2,2.36,1.0
431,6085,10.6,84627.0,10.4,32.2,2.25,1.0
432,6087,14.2,60247.0,13.3,85.8,10.29,1.0
433,6089,18.2,41058.0,16.8,164.0,13.54,1.0
434,6095,12.2,62948.0,12.6,56.5,3.87,1.0
435,6097,12.8,58703.0,10.8,69.4,8.89,1.0
436,6099,19.7,47442.0,16.9,106.9,2.92,1.0
437,6107,24.6,42377.0,17.2,89.4,2.49,1.0
438,6109,15.2,44751.0,15.2,185.4,25.29,1.0
439,6111,11.0,71418.0,10.8,63.6,8.26,1.0
440,8001,13.0,52785.0,10.0,60.1,5.43,1.0
441,8005,11.4,58152.0,8.6,64.6,2.62,1.0
442,8013,13.6,62215.0,7.0,63.0,5.77,1.0
443,8031,21.3,45415.0,9.1,49.6,12.66,1.0
444,8035,3.5,97806.0,7.0,61.2,3.85,1.0
445,8041,13.4,51553.0,9.3,79.0,4.82,1.0
446,8059,8.8,64181.0,8.4,83.3,5.8,1.0
447,8069,13.6,54739.0,7.6,80.4,7.68,1.0
448,8101,19.6,39107.0,10.4,125.3,6.29,1.0
449,8123,14.3,52334.0,9.2,65.3,7.12,1.0
450,9001,9.3,74634.0,8.4,54.0,3.38,1.0
451,9003,11.3,60028.0,9.4,71.1,5.59,1.0
452,9005,6.7,66076.0,8.7,73.0,8.42,1.0
453,9007,6.8,70805.0,7.9,68.6,9.66,1.0
454,9009,11.6,57070.0,10.0,76.3,7.65,1.0
455,9011,8.9,61792.0,8.9,83.6,7.66,1.0
456,9015,11.8,56564.0,10.3,81.1,8.44,1.0
457,10001,12.1,51490.0,8.9,86.8,9.24,1.0
458,10003,11.2,59877.0,8.3,93.3,10.4,1.0
459,10005,13.9,48582.0,8.5,134.0,13.19,1.0
460,11001,18.8,60729.0,9.4,37.1,4.82,1.0
461,12001,25.3,40656.0,8.0,85.3,5.66,1.0
462,12005,15.1,44364.0,10.5,121.5,11.25,1.0
463,12009,13.5,46331.0,11.3,107.9,5.15,1.0
464,12011,14.7,47917.0,10.2,77.3,6.92,1.0
465,12017,17.2,36174.0,13.7,115.0,10.62,1.0
466,12019,11.3,57913.0,9.9,109.0,6.29,1.0
467,12021,15.7,53341.0,11.6,77.8,12.75,1.0
468,12031,16.6,46112.0,11.4,106.8,6.71,1.0
469,12033,19.1,41428.0,10.1,149.2,7.06,1.0
470,12053,15.1,37867.0,13.5,135.3,12.73,1.0
471,12057,16.7,46043.0,10.7,104.3,17.08,1.0
472,12069,13.5,42343.0,11.8,98.8,4.71,1.0
473,12071,17.1,44377.0,12.5,90.3,13.58,1.0
474,12081,14.5,44990.0,11.4,101.6,21.06,1.0
475,12083,19.6,37162.0,13.6,100.7,7.24,1.0
476,12085,11.3,49539.0,10.8,93.0,7.52,1.0
477,12086,20.3,40145.0,11.1,37.9,2.36,1.0
478,12091,12.4,51173.0,8.4,127.5,6.64,1.0
479,12095,16.4,45105.0,10.8,68.2,10.21,1.0
480,12097,16.3,42165.0,12.5,80.4,8.93,1.0
481,12099,14.3,49891.0,11.0,83.0,7.73,1.0
482,12101,15.2,42184.0,11.9,120.3,14.63,1.0
483,12103,14.2,42628.0,10.8,106.2,9.82,1.0
484,12105,17.5,41184.0,12.1,87.7,2.82,1.0
485,12107,26.7,33300.0,13.4,125.5,21.52,1.0
486,12109,12.0,60841.0,8.7,77.2,7.89,1.0
487,12111,17.6,39378.0,13.8,79.7,7.56,1.0
488,12113,12.6,51208.0,9.3,129.0,10.57,1.0
489,12115,13.1,46047.0,11.6,100.1,17.39,1.0
490,12117,11.0,57381.0,10.6,82.8,13.25,1.0
491,12127,16.5,41368.0,12.3,104.5,20.62,1.0
492,13015,14.5,43825.0,12.2,115.2,10.98,1.0
493,13045,19.0,45242.0,11.7,139.4,9.05,1.0
494,13057,8.6,63520.0,8.8,82.4,7.93,1.0
495,13063,22.6,36595.0,13.5,56.7,5.4,1.0
496,13067,14.0,59471.0,9.3,78.6,1.74,1.0
497,13073,8.8,64435.0,7.3,97.1,8.06,1.0
