,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
122,18089,17.8,48341,9.1,95.6,7.94
123,18095,19.6,41117,9.3,144.8,9.96
124,18097,21.3,41478,8.5,95.7,6.46
125,18127,11.7,64530,7.2,105.7,14.41
126,18141,20.1,40978,8.7,97.3,8.25
127,19113,9.7,56503,5,81.4,7.4
128,19153,12.4,59388,4.8,96.9,8.41
129,19163,14.2,54444,5.6,82.7,19.37
130,20091,6.1,74135,4.3,73.8,6.53
131,20103,11.2,65424,6,57.9,12.79
132,20173,16,48671,6.1,114.9,5.14
133,21015,8.7,65274,6.6,106.3,23.3
134,21037,14.8,53321,6.6,98.2,21.98
135,21059,15.3,46908,6.9,123.2,14.25
136,21067,19,47959,5.8,75.0,13.94
137,21071,30.6,31229,13.3,290.1,43.9
138,21107,17.5,40782,7.9,147.8,25.73
139,21111,16.1,47495,7.5,96.8,14.14
140,21117,13.4,53949,7,81.3,23.91
141,21195,23,35071,11.9,267.7,20.51
142,22033,20.8,47770,6.2,113.9,6.06
143,22051,18.9,46547,6.3,123.6,15.18
144,22071,26.6,36240,7.3,73.1,11.88
145,22103,11,61655,5.7,127.3,21.46
146,23005,12.1,55020,5.3,74.4,9.81
147,23011,14.8,45151,6.2,118.8,13.21
148,23019,15.9,43615,6.8,91.5,9.13
149,23031,10,55163,6.3,82.3,10.03
150,24003,7.3,85685,5.7,78.6,3.96
151,24005,9.5,64624,6.9,84.5,4.62
152,24025,7.4,77453,6.5,88.4,6.02
153,24031,7,97873,4.9,40.3,1.57
154,24033,9.9,71682,6.9,46.5,1.46
155,24043,12,55643,7.3,124.8,6.69
156,24510,22.7,41988,9.7,68.5,5.79
157,25001,9.6,60685,8.4,82.4,18.14
158,25003,12.8,51431,7.4,85.1,13.89
159,25005,14.1,53626,8.7,91.2,19.9
160,25009,11.6,67235,7,62.3,13.64
161,25013,17.9,48560,8.7,89.0,14.12
162,25015,13.1,61911,6.1,72.7,16.92
163,25017,8.7,82118,5.5,45.9,9.02
164,25021,6.9,83830,5.8,54.6,10.9
165,25023,8,75264,7,70.3,15.74
166,25025,20.4,54164,6.2,45.1,13.63
167,25027,13,62268,7.2,70.6,12.61
168,26045,11.5,53764,6.7,108.6,13.84
169,26049,21.7,41393,9.7,134.2,9.87
170,26065,22.4,44979,7.7,91.6,13.46
171,26077,17.7,46445,6.9,89.6,10.91
172,26081,14.8,51997,6.2,88.2,8.53
173,26093,6.4,71075,7.4,69.5,11.39
174,26099,13.4,52954,9.5,110.8,15.09
175,26115,12.5,55745,7.4,111.7,18.62
176,26121,20.4,41556,9.9,154.1,16.96
177,26125,10.2,67281,7.8,82.7,1.79
178,26139,11.3,57994,6.1,67.3,5.13
179,26147,15.8,49949,11.5,112.9,11.22
180,26161,16.3,59965,5.8,57.4,11.57
181,26163,25.1,40485,11.5,104.6,14.08
182,27003,7.6,70619,5,62.4,9.42
183,27037,8.4,73833,4.5,61.3,5.63
184,27053,12.2,64331,4.6,49.8,7.92
185,27123,16.2,56293,4.9,50.8,5.13
186,27137,16.5,46022,6.1,86.4,8.48
187,28121,11.6,55838,5.2,109.5,6.81
188,29047,10,60641,6.1,102.5,7.81
189,29071,10.8,51138,7.2,106.3,13.75
190,29077,20.2,38525,5.5,139.2,7.4
191,29095,17.2,46802,7.6,92.3,9.71
192,29099,11.5,55305,6.8,94.8,23.04
193,29183,6.4,70468,5.3,85.5,9.64
194,29187,20.7,37696,8.5,215.1,22.65
195,29189,10.9,59284,6.2,78.1,14.38
196,29510,27.2,34346,8.4,64.7,26.69
197,30029,16.7,46885,7.7,109.8,15.04
198,30063,17.4,45895,5.2,98.7,8.94
199,31055,15.2,51959,4.1,73.8,2.98
200,31109,14.8,52275,3.5,70.0,3.7
201,32003,16.3,51071,9.7,86.6,14.15
202,32031,15.1,53565,9.5,100.3,14.76
203,33005,11.4,52246,4.7,84.4,15.66
204,33011,9.3,67162,5.4,72.0,11.88
205,33013,9.1,64068,4.6,90.4,12.94
206,33015,5.9,74785,5.4,76.3,10.7
207,33017,9.8,59290,4.9,98.7,12.84
208,34001,17.1,51668,11.7,86.7,13.05
209,34003,8.1,81615,6.7,45.5,6.7
210,34005,6.2,76868,7.7,74.0,2.22
211,34009,10.8,56520,14.3,98.6,27.11
212,34011,20.1,45850,11.7,105.4,10.17
213,34013,17.7,53358,9.7,42.0,9.37
214,34015,9.4,71137,9,85.5,3.45
215,34017,19.4,55699,7.9,37.0,7.27
216,34021,11.8,70575,7.3,59.8,9.18
217,34023,9.4,76515,7.5,47.7,8.08
218,34025,7.8,83424,7.5,63.5,10.01
219,34027,4.9,99950,6.2,47.2,5.41
220,34029,10.5,59888,9.3,77.8,9.6
221,34031,16.6,57426,10,49.3,9.49
222,34035,5.7,96947,6.3,40.0,7.56
223,34037,6.1,85747,7.9,66.4,8.9
224,34039,11.5,64272,8.4,46.0,6.93
225,35001,18.7,48053,6.5,74.0,15.43
226,35013,27,36831,7.5,52.7,9.84
227,35039,24.8,36716,9.6,93.4,62.39
228,35043,15.3,56190,7.4,58.2,9.52
229,35045,21.8,44417,6.8,63.9,8.7
230,35049,18.1,51697,5.6,94.8,22.38
231,35061,23.4,41412,8.4,84.9,19.66
232,36001,13.7,55778,6.1,54.6,4.24
233,36005,30.7,33079,11.8,34.9,7.89
234,36007,17.7,45142,7.8,77.2,11.14
235,36011,14.2,48976,7.4,35.0,13.84
236,36013,19.1,40468,8,88.5,8.27
237,36027,9.5,69300,6.7,62.4,18.19
238,36029,15.1,51123,7.4,76.8,10.11
239,36045,15.7,46510,9.2,29.7,8.37
240,36047,23.3,47067,9.4,26.2,5.17
241,36055,15.5,51722,7,56.1,8.54
242,36059,6.5,95395,5.9,46.6,9.84
